"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.750,0.89,-0.83,-2.21,0.750,1.01,-0.91,-0.76,0.750,1.09,-0.84,-0.48,0.750,0.77,-1.09,-0.51,0.750,1.03,-0.90,-0.48,0.750,1.30,-0.62,-1.03,0.750,1.18,-0.79,-0.63,0.750,1.07,-0.92,-0.64,0.750,1.40,-0.50,-2.93,0.750,1.14,-0.84,-0.95
0.800,0.85,-1.00,-2.30,0.800,0.97,-0.94,-0.56,0.800,1.05,-0.86,-0.40,0.800,0.72,-1.12,-0.43,0.800,0.98,-0.93,-0.41,0.800,1.27,-0.72,-1.63,0.800,1.14,-0.82,-0.47,0.800,1.03,-0.95,-0.62,0.800,1.37,-0.62,-1.59,0.800,1.10,-0.89,-0.97
0.850,0.79,-1.12,-1.35,0.850,0.92,-0.96,-0.45,0.850,1.01,-0.88,-0.28,0.850,0.66,-1.14,-0.31,0.850,0.93,-0.95,-0.36,0.850,1.22,-0.85,-1.53,0.850,1.09,-0.84,-0.33,0.850,0.98,-0.98,-0.56,0.850,1.34,-0.65,-0.59,0.850,1.06,-0.94,-0.91
0.900,0.73,-1.13,-0.39,0.900,0.87,-0.98,-0.38,0.900,0.96,-0.89,-0.18,0.900,0.60,-1.15,-0.14,0.900,0.88,-0.96,-0.35,0.900,1.18,-0.90,-0.73,0.900,1.05,-0.85,-0.32,0.900,0.93,-1.01,-0.47,0.900,1.30,-0.62,-0.87,0.900,1.01,-0.98,-0.72
0.950,0.68,-1.10,-0.17,0.950,0.82,-1.00,-0.30,0.950,0.92,-0.89,-0.24,0.950,0.55,-1.15,0.09,0.950,0.84,-0.98,-0.38,0.950,1.13,-0.90,-0.17,0.950,1.01,-0.86,-0.45,0.950,0.88,-1.03,-0.33,0.950,1.27,-0.68,-1.96,0.950,0.96,-1.01,-0.45
1.000,0.62,-1.13,-0.46,1.000,0.77,-1.01,-0.22,1.000,0.87,-0.91,-0.40,1.000,0.49,-1.14,0.85,1.000,0.79,-1.00,-0.39,1.000,1.09,-0.89,-0.18,1.000,0.96,-0.90,-0.56,1.000,0.82,-1.04,-0.20,1.000,1.25,-0.85,-2.52,1.000,0.91,-1.03,-0.25
1.050,0.57,-1.17,-0.59,1.050,0.72,-1.02,-0.15,1.050,0.83,-0.94,-0.45,1.050,0.43,-1.11,1.80,1.050,0.74,-1.02,-0.35,1.050,1.04,-0.91,-0.50,1.050,0.92,-0.93,-0.52,1.050,0.77,-1.05,-0.12,1.050,1.19,-1.01,-1.76,1.050,0.85,-1.03,-0.18
1.100,0.51,-1.20,-0.41,1.100,0.67,-1.02,-0.13,1.100,0.78,-0.96,-0.24,1.100,0.38,-0.93,1.42,1.100,0.68,-1.04,-0.30,1.100,1.00,-0.94,-0.77,1.100,0.87,-0.95,-0.35,1.100,0.72,-1.05,-0.10,1.100,1.13,-1.05,-0.62,1.100,0.80,-1.04,-0.18
1.150,0.45,-1.21,-0.21,1.150,0.62,-1.03,-0.19,1.150,0.73,-0.96,-0.06,1.150,0.32,-0.82,12.65,1.150,0.63,-1.05,-0.26,1.150,0.95,-0.99,-0.76,1.150,0.82,-0.96,-0.22,1.150,0.67,-1.06,-0.09,1.150,1.09,-1.01,-0.12,1.150,0.75,-1.05,-0.20
1.200,0.38,-1.21,-0.08,1.200,0.57,-1.04,-0.38,1.200,0.68,-0.95,-0.12,1.200,0.32,-1.01,37.99,1.200,0.58,-1.06,-0.25,1.200,0.90,-1.03,-0.48,1.200,0.77,-0.97,-0.17,1.200,0.61,-1.06,-0.06,1.200,1.03,-1.03,-0.23,1.200,0.70,-1.06,-0.22
